airport,freq_1993,freq_2003,shift_absolute,shift_pct
LBB,0.0016107544942863935,0.0015407989504560874,-6.995554383030611e-05,-4.343029560274376
LCH,0.0,0.00024024143553497788,0.00024024143553497788,0.0
LEX,0.0010524667855992319,0.0010430995662544338,-9.36721934479811e-06,-0.8900251744728263
LFT,5.486412687962389e-05,0.0006077902984474654,0.0005529261715678416,1007.8100263602191
LGA,0.020152618737124265,0.0160159377526701,-0.004136680984454164,-20.526766463525423
LGB,0.000905760512258113,0.00164472982789331,0.000738969315635197,81.58550804924185
LIH,9.0435373977402e-06,0.00039060951352925724,0.00038156597613151703,4219.211568991385
LIT,0.0032757702129592283,0.002511241672301521,-0.0007645285406577074,-23.3388940907139
LNK,0.0005920502483053919,0.00026661902904868024,-0.00032543121925671163,-54.96682421604989
LNY,0.0,9.003130720245719e-06,9.003130720245719e-06,0.0
LRD,0.0,0.0003539651920012396,0.0003539651920012396,0.0
LSE,0.000205991685170749,0.0002497184152404997,4.37267300697507e-05,21.227424802853125
LWB,0.0,3.032633505766979e-05,3.032633505766979e-05,0.0
LYH,0.0,0.0001642676482290447,0.0001642676482290447,0.0
MAF,0.0011959575789767098,0.0012823933038188596,8.643572484214978e-05,7.227323641036356
MBS,0.0006722362798986883,0.0005973656207713914,-7.48706591272969e-05,-11.137551091199741
MCI,0.01082270265512229,0.009261062517897671,-0.0015616401372246184,-14.429299103819579
MCN,0.0,0.00026203848885767805,0.00026203848885767805,0.0
MCO,0.016102118820425292,0.014506412835242235,-0.0015957059851830577,-9.909913117514256
MDT,0.001680490215997857,0.0012850784480687575,-0.00039541176792909946,-23.529548947377133
MDW,0.006586106835527597,0.013232706762820103,0.006646599927292505,100.91849545225395
MEI,0.0,0.00023392344906463,0.00023392344906463,0.0
MEM,0.009893428945630053,0.007744113966367146,-0.0021493149792629063,-21.724671911776987
MFE,0.0006111421605895101,0.00047511258257016005,-0.00013602957801935002,-22.25825459139251
MFR,0.0002899960992208691,0.0006556490459603506,0.00036565294673948146,126.08891903093841
MGM,0.0004975955243734386,0.0005599315509345802,6.23360265611416e-05,12.527449204780078
MHT,0.0007767393787170195,0.002960292560681496,0.0021835531819644764,281.1178680770845
MIA,0.014486340138695708,0.009534315432740217,-0.004952024705955491,-34.184097974668646
MKE,0.0039033917083623982,0.003215065365098274,-0.0006883263432641241,-17.634057627101427
MKK,0.0,9.003130720245719e-06,9.003130720245719e-06,0.0
MLB,0.0008633563702375979,0.0003645478193390723,-0.0004988085508985256,-57.77551056480329
MLI,0.0005104574442280024,0.00041035322124909437,-0.00010010422297890807,-19.610689218236814
MLU,0.0004907626294507016,0.0005425570881411236,5.179445869042199e-05,10.553871786935822
MOB,0.001451990171081621,0.0007628968662945056,-0.0006890933047871155,-47.45853784077573
MOD,0.0,0.00020501866096278847,0.00020501866096278847,0.0
MOT,0.0003185334838981826,0.00017200718165522085,-0.00014652630224296176,-46.000282434922305
MQT,0.0,4.564745224826338e-05,4.564745224826338e-05,0.0
MRY,0.00027331579690948165,0.0011490837892945195,0.0008757679923850378,320.42348166033
MSN,0.0010824109427606382,0.0011579289703530064,7.551802759236817e-05,6.976835193458318
