airport,target_rate_1993,target_rate_2003,shift_absolute,shift_pct
GSO,0.8327404245227084,0.8189661475469767,-0.013774276975731636,-1.6540901066051248
GSP,0.8791880995412207,0.8347712418300653,-0.04441685771115533,-5.052031270024356
GST,0.9418604651162791,0.9101123595505618,-0.03174810556571728,-3.3707865168539333
GTF,0.9261838440111421,0.9075565784426544,-0.018627265568487705,-2.0111844628833344
GTR,,0.809373354397051,,
GUC,0.7407407407407407,0.9111111111111111,0.1703703703703704,23.000000000000004
GUM,0.9362119725220804,,,
HDN,0.6961770623742455,0.8159609120521173,0.11978384967787181,17.205946037544013
HLN,0.8767006802721088,0.9465408805031447,0.06984020023103588,7.966253682996916
HNL,0.8859074733096085,0.9219524760126215,0.03604500270301303,4.068709632661148
HOU,0.8961891081910234,0.855691020415492,-0.04049808777553132,-4.518922112016912
HPN,0.8530363601751381,0.8081695966907962,-0.04486676348434182,-5.259654286615657
HRL,0.9173693086003373,0.9067050152795254,-0.010664293320811868,-1.1624863858899703
HSV,0.8939979392065945,0.852110537503796,-0.04188740170279859,-4.685402489850572
HTS,0.879129734085415,0.849566055930569,-0.02956367815484595,-3.3628345178885266
HVN,0.8212512413108243,,,
IAD,0.8109180838396483,0.8265018804931518,0.015583796653503512,1.921747333554972
IAH,0.8674603656684687,0.8634137810423225,-0.004046584626146266,-0.46648639941352826
ICT,0.8733506693633825,0.8415730337078652,-0.03177763565551728,-3.638588343749844
IDA,0.9040524433849821,0.9346749226006192,0.0306224792156371,3.3872458881897862
ILE,,0.9153402537485582,,
ILM,0.9524524524524525,0.8938080495356037,-0.0586444029168488,-6.157200054012817
IND,0.8717519312841013,0.8551700412816985,-0.016581890002402844,-1.9021340139708682
IPL,,0.953232462173315,,
ISP,0.8954851583936144,0.8776964743894327,-0.017788684004181765,-1.986485631553334
ITH,0.926829268292683,,,
ITO,,0.957983193277311,,
IYK,,0.9770773638968482,,
JAC,0.8092513113972342,0.8670305135202183,0.05777920212298415,7.139834228161329
JAN,0.8261713335181592,0.8852887905011069,0.05911745698294768,7.155592863674237
JAX,0.8579047832921626,0.8639700140559113,0.0060652307637487635,0.7069818098546756
JFK,0.774848863107913,0.8249338340238613,0.050084970915948324,6.463837439866387
JNU,0.8356120826709063,0.826025459688826,-0.00958662298208024,-1.1472575829011549
KOA,0.9117647058823529,0.9555837563451777,0.04381905046282475,4.805960373342069
KSM,0.8095238095238095,,,
KTN,0.6627218934911243,0.8547770700636943,0.19205517657256999,28.979754322111006
